Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
,,,,,,,,,,,,,
1,35,Adrian Houser,us US,Pitcher,*,,31,R,R,"6' 3""",242,2-Feb-93,2011
2,40,Luis Severino,do DO,Pitcher,*,,30,R,R,"6' 2""",218,20-Feb-94,2012
3,59,Sean Manaea,us US,Pitcher,*,,32,R,L,"6' 5""",245,1-Feb-92,2011
4,,Adam Ottavino,us US,Pitcher,*,,38,S,R,"6' 5""",246,22-Nov-85,2006
5,71,Sean Reid-Foley,gu GU,Pitcher,*,,28,R,R,"6' 3""",230,30-Aug-95,2014
6,39,Edwin DÃ­az,pr PR,Pitcher,*,,30,R,R,"6' 3""",207,22-Mar-94,2012
7,75,Reed Garrett,us US,Pitcher,*,,31,R,R,"6' 2""",195,2-Jan-93,2012
8,52,Jorge LÃ³pez,pr PR,Pitcher,*,,31,R,R,"6' 3""",200,10-Feb-93,2011
9,46,Yohan RamÃ­rez,do DO,Pitcher,*,,29,R,R,"6' 4""",212,6-May-95,2016
10,70,JosÃ© ButtÃ³,ve VE,Pitcher,*,,26,R,R,"6' 1""",202,19-Mar-98,2017
11,30,Jake Diekman,us US,Pitcher,*,,37,R,L,"6' 4""",195,21-Jan-87,2007
12,45,Christian Scott,us US,Pitcher,*,,25,R,R,"6' 4""",215,15-Jun-99,2019
13,62,Jose Quintana,co CO,Pitcher,*,,35,R,L,"6' 1""",220,24-Jan-89,2006
14,1,Jeff McNeil,us US,Position,*,,32,L,R,"6' 1""",195,8-Apr-92,2011
15,44,Harrison Bader,us US,Position,*,,30,R,R,"6' 0""",210,3-Jun-94,2013
16,22,Brett Baty,us US,Position,*,,24,L,R,"6' 3""",210,13-Nov-99,2019
17,20,Pete Alonso,us US,Position,*,,29,R,R,"6' 3""",245,7-Dec-94,2014
18,13,Joey Wendle,us US,Position,*,,34,L,R,"6' 1""",195,26-Apr-90,2012
19,2,Omar NarvÃ¡ez,ve VE,Position,*,,32,L,R,"5' 11""",220,10-Feb-92,2009
20,6,Starling Marte,do DO,Position,*,,35,R,R,"6' 1""",195,9-Oct-88,2007
21,12,Francisco Lindor,pr PR,Position,*,,30,S,R,"5' 11""",190,14-Nov-93,2011
22,28,J.D. Martinez,us US,Position,*,,36,R,R,"6' 3""",230,21-Aug-87,2009
23,9,Brandon Nimmo,us US,Position,*,,31,L,R,"6' 3""",206,27-Mar-93,2011
24,15,Tyrone Taylor,us US,Position,*,,30,R,R,"6' 1""",218,22-Jan-94,2012
25,29,DJ Stewart,us US,Position,*,,30,L,R,"6' 0""",210,30-Nov-93,2013
26,3,TomÃ¡s Nido,pr PR,Position,*,,30,R,R,"5' 11""",228,12-Apr-94,2012
27,4,Francisco Alvarez,ve VE,Position,,10-day,22,R,R,"5' 10""",233,19-Nov-01,2019
28,38,Tylor Megill,us US,Pitcher,,15-day,28,R,R,"6' 7""",241,28-Jul-95,2014
29,33,Drew Smith,us US,Pitcher,,15-day,30,R,R,"6' 2""",190,24-Sep-93,2013
30,25,Brooks Raley,us US,Pitcher,,15-day,36,L,L,"6' 3""",200,29-Jun-88,2009
31,23,David Peterson,us US,Pitcher,,60-day,28,L,L,"6' 6""",240,3-Sep-95,2014
32,34,Kodai Senga,jp JP,Pitcher,,60-day,31,L,R,"6' 1""",202,30-Jan-93,2012
33,10,Ronny Mauricio,do DO,Position,,60-day,23,S,R,"6' 3""",166,4-Apr-01,2018
34,56,Grant Hartwig,us US,Pitcher,,,26,R,R,"6' 5""",235,18-Dec-97,2017
35,91,Josh Walker,us US,Pitcher,,,29,L,L,"6' 6""",225,1-Dec-94,2014
36,72,Dedniel NÃºÃ±ez,do DO,Pitcher,,,28,R,R,"6' 2""",180,5-Jun-96,2017
37,81,Danny Young,us US,Pitcher,,,30,L,L,"6' 3""",200,27-May-94,2013
38,47,Joey Lucchesi,us US,Pitcher,,,31,L,L,"6' 5""",225,6-Jun-93,2015
39,19,Shintaro Fujinami,jp JP,Pitcher,,,30,R,R,"6' 6""",180,12-Apr-94,2013
40,54,Cole Sulser,us US,Pitcher,,,34,R,R,"6' 1""",190,12-Mar-90,2011
41,27,Mark Vientos,us US,Position,,,24,R,R,"6' 4""",220,11-Dec-99,2017
42,73,Luisangel AcuÃ±a,ve VE,Position,,,22,R,R,"5' 8""",181,12-Mar-02,2019
43,72,Alex RamÃ­rez,do DO,Position,,,21,R,R,"6' 3""",196,13-Jan-03,2021
